-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.075,33.679,407.987274,20.1986961
2,0.13,26.875,362.220612,19.032095
3,0.21,20.882,294.409332,17.1583614
4,0.26,16.07,212.930145,14.5921259
5,0.28,12.098,141.754959,11.9060888
6,0.25,9.5231,87.3825226,9.34786224
7,0.29,7.4759,54.4084244,7.37620687
8,0.34,6.3708,35.6281395,5.9689312
9,0.37,5.3579,24.8687859,4.98686123
10,0.49,3.7025,17.0787487,4.13264418
11,0.69,2.0219,8.1931572,2.8623693
12,0.82,1.3465,4.42269373,2.10302019
13,0.81,1.7531,9.22540569,3.03733516
14,0.78,1.9277,10.3634396,3.2192297
15,0.79,1.8806,11.0871706,3.32974029
16,0.83,1.2835,7.33492661,2.70830703
17,0.9,0.75259,4.5592351,2.1352365
18,0.94,0.59873,3.61033964,1.90008938
19,0.96,0.36385,1.70302653,1.30500054
20,0.99,0.22819,0.895830691,0.946483314
21,0.99,0.25382,1.67286289,1.29339206
22,0.97,0.3029,2.09377885,1.44698954
23,0.99,0.14861,0.589162767,0.767569363
24,1,0.059595,0.045916066,0.214280337
25,1,0.075246,0.307045728,0.554117084
26,1,0.040291,0.011072129,0.105224185
27,1,0.033234,0.000249958,0.015810054
28,1,0.032868,0.000200926,0.014174833
29,1,0.03285,0.000199866,0.014137383
30,1,0.032849,0.000199822,0.01413583
31,1,0.032851,0.0001998,0.014135052
32,1,0.03285,0.000199784,0.014134482
33,1,0.03285,0.000199781,0.014134374
34,1,0.032849,0.000199794,0.014134835
35,1,0.032851,0.000199823,0.014135883
36,1,0.03285,0.000199816,0.014135646
37,1,0.03285,0.000199805,0.014135255
38,1,0.03285,0.000199806,0.014135287
39,1,0.03285,0.00019979,0.014134701
40,1,0.032849,0.000199759,0.014133621
41,1,0.032849,0.000199812,0.014135504
42,1,0.03285,0.00019982,0.014135766
43,1,0.032849,0.000199807,0.0141353
44,1,0.032849,0.000199821,0.014135817
45,1,0.032849,0.000199797,0.014134955
46,1,0.03285,0.000199825,0.014135955
47,1,0.032849,0.000199798,0.014134986
48,1,0.03285,0.000199804,0.014135194
49,1,0.03285,0.000199803,0.01413518
50,1,0.03285,0.000199809,0.014135394
51,1,0.032851,0.00019982,0.014135771
52,1,0.03285,0.000199821,0.014135821
53,1,0.03285,0.000199804,0.014135211
54,1,0.032849,0.000199786,0.01413457
55,1,0.03285,0.0001998,0.014135072
56,1,0.032851,0.000199801,0.014135084
57,1,0.032849,0.0001998,0.014135075
58,1,0.03285,0.000199795,0.014134878
59,1,0.032849,0.000199794,0.014134835
60,1,0.03285,0.000199801,0.01413511
61,1,0.03285,0.000199795,0.014134871
62,1,0.032848,0.000199777,0.014134265
63,1,0.03285,0.000199821,0.014135816
64,1,0.03285,0.000199812,0.014135471
65,1,0.03285,0.000199796,0.014134934
66,1,0.032851,0.000199785,0.014134549
67,1,0.03285,0.000199811,0.014135438
68,1,0.03285,0.00019986,0.014137175
69,1,0.03285,0.000199813,0.014135527
70,1,0.03285,0.000199781,0.014134386
71,1,0.032849,0.000199802,0.014135149
72,1,0.032849,0.000199841,0.014136522
73,1,0.032849,0.000199839,0.014136435
74,1,0.03285,0.000199795,0.014134903
75,1,0.032849,0.000199793,0.01413483
76,1,0.03285,0.000199826,0.014135974
77,1,0.03285,0.000199791,0.014134758
78,1,0.03285,0.000199813,0.014135514
79,1,0.032851,0.000199785,0.01413453
80,1,0.032849,0.000199849,0.0141368
81,1,0.032849,0.000199801,0.01413508
82,1,0.03285,0.00019981,0.014135412
83,1,0.032849,0.000199798,0.014134999
84,1,0.032848,0.000199789,0.01413468
85,1,0.032849,0.00019978,0.014134338
86,1,0.032849,0.000199831,0.014136151
87,1,0.032851,0.000199792,0.014134781
88,1,0.03285,0.000199802,0.014135142
89,1,0.03285,0.000199822,0.014135835
90,1,0.03285,0.000199826,0.014135973
91,1,0.03285,0.00019983,0.014136119
92,1,0.032849,0.000199803,0.014135176
93,1,0.032848,0.000199799,0.014135019
94,1,0.03285,0.000199815,0.014135577
95,1,0.032849,0.000199826,0.014135969
96,1,0.03285,0.000199792,0.01413477
97,1,0.03285,0.000199803,0.014135186
98,1,0.032849,0.000199779,0.014134332
99,1,0.03285,0.000199822,0.014135827
100,1,0.03285,0.000199829,0.014136081
101,1,0.032851,0.00019981,0.014135423
102,1,0.032851,0.000199797,0.014134964
103,1,0.032849,0.000199813,0.014135541
104,1,0.032849,0.000199802,0.014135118
105,1,0.032848,0.000199798,0.014135007
106,1,0.032849,0.000199793,0.014134811
107,1,0.032849,0.000199827,0.014136006
108,1,0.03285,0.000199834,0.014136274
109,1,0.032848,0.00019979,0.014134705
110,1,0.03285,0.000199842,0.014136544
