-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.056,36.95,487.626862,22.0822754
2,0.12,30.277,435.032776,20.857439
3,0.17,24.282,363.271606,19.0596848
4,0.18,19.144,281.696594,16.7838192
5,0.2,14.847,202.131668,14.2173014
6,0.22,11.701,138.921722,11.7865057
7,0.24,9.4459,94.2935333,9.71048546
8,0.23,8.1683,61.1456146,7.81956625
9,0.28,6.8951,45.1428909,6.71884632
10,0.33,5.4824,33.5215187,5.7897768
11,0.4,4.1791,21.6914635,4.65740967
12,0.46,3.3696,13.2285433,3.63710642
13,0.5,2.8889,7.61553955,2.75962663
14,0.56,2.758,8.06471539,2.83984423
15,0.56,2.6832,7.48536348,2.73593926
16,0.53,2.9429,9.93609333,3.15215683
17,0.52,2.6709,7.30080128,2.70199943
18,0.52,2.4618,5.85272789,2.41924119
19,0.54,2.3451,5.73244524,2.39425254
20,0.53,2.2549,4.83480453,2.19881892
21,0.56,2.0628,4.03696775,2.0092206
22,0.62,1.97,4.10107374,2.02511072
23,0.63,1.9861,4.32382011,2.0793798
24,0.62,1.9497,3.82004571,1.95449376
25,0.61,1.9393,3.31694961,1.82124949
26,0.6,1.9367,3.516922,1.87534583
27,0.64,1.8414,3.01291466,1.73577499
28,0.62,1.8745,3.59852147,1.89697695
29,0.63,1.8361,2.90100241,1.70323288
30,0.58,2.0821,4.81609201,2.19455957
31,0.58,2.0538,3.79679823,1.94853747
32,0.62,1.8797,3.13800287,1.77144086
33,0.62,1.8422,3.23611164,1.79891956
34,0.62,1.8586,3.04081917,1.74379444
35,0.62,1.8442,2.7792244,1.66710055
36,0.64,1.8175,2.87184596,1.6946522
37,0.6,1.8364,2.92681003,1.71079218
38,0.6,1.7586,2.44049859,1.56220949
39,0.61,1.7902,2.56997561,1.60311437
40,0.63,1.7793,2.59643769,1.6113466
41,0.62,1.8215,2.88920522,1.69976628
42,0.62,1.795,2.91942906,1.70863366
43,0.62,1.7688,2.70509815,1.64471829
44,0.62,1.764,2.80422449,1.67458189
45,0.64,1.7605,2.73465633,1.65367961
46,0.63,1.7558,2.68153763,1.6375401
47,0.64,1.6929,2.38111115,1.54308498
48,0.62,1.6898,2.32297802,1.52413189
49,0.62,1.769,2.77861142,1.66691673
50,0.63,1.8514,2.77020431,1.66439307
51,0.59,1.8524,2.98900628,1.72887433
52,0.61,1.8271,2.72595263,1.65104592
53,0.61,1.7395,2.55075097,1.59710705
54,0.64,1.7566,2.79058266,1.67050374
55,0.62,1.7268,2.36488485,1.53781819
56,0.62,1.739,2.70750213,1.64544892
57,0.63,1.7387,2.70027971,1.64325273
58,0.64,1.696,2.64336586,1.62584317
59,0.64,1.7041,2.5433569,1.59479046
60,0.63,1.7187,2.74074984,1.65552104
61,0.62,1.711,2.30260897,1.51743495
62,0.62,1.751,2.65094018,1.62817085
63,0.62,1.7494,2.43814588,1.56145632
64,0.6,1.7571,2.42097259,1.55594742
65,0.62,1.8147,2.52382183,1.58865404
66,0.58,1.819,2.50485373,1.58267295
67,0.64,1.778,2.59627271,1.61129534
68,0.61,1.7777,2.80843186,1.67583764
69,0.62,1.7747,2.66862178,1.63359165
70,0.62,1.7655,2.84342074,1.68624461
71,0.63,1.7717,2.74739337,1.65752625
72,0.64,1.7291,2.58790684,1.6086973
73,0.64,1.6615,2.45641708,1.56729615
74,0.65,1.6725,2.47215986,1.57231033
75,0.64,1.6718,2.36750627,1.5386703
76,0.64,1.6836,2.27288055,1.50760758
77,0.62,1.7223,2.23591638,1.49529815
78,0.62,1.7575,2.38281441,1.54363668
79,0.6,1.8235,2.60689259,1.61458743
80,0.6,1.7586,2.33921218,1.52944827
81,0.62,1.7438,2.29924488,1.51632619
82,0.62,1.7579,2.43675041,1.56100941
83,0.61,1.7855,2.61264753,1.61636865
84,0.63,1.7936,2.81679535,1.67833114
85,0.6,1.8242,2.88833475,1.6995101
86,0.63,1.7629,2.59440303,1.61071503
87,0.64,1.7485,2.80906081,1.67602527
88,0.62,1.7379,2.80238008,1.67403102
89,0.65,1.6717,2.45591688,1.56713653
90,0.62,1.6813,2.19855499,1.48275244
91,0.64,1.6887,2.28691769,1.51225591
92,0.63,1.8166,2.727808,1.65160775
93,0.6,1.8328,2.75935745,1.66113138
94,0.6,1.8362,2.56379724,1.60118616
95,0.62,1.783,2.59170175,1.60987628
96,0.6,1.8094,2.83726954,1.68441963
97,0.63,1.7739,2.56351447,1.60109782
98,0.6,1.7542,2.51016331,1.58434951
99,0.61,1.8157,2.80460238,1.67469478
100,0.62,1.8074,3.01617074,1.73671269
101,0.64,1.7124,2.57001257,1.60312581
102,0.64,1.7517,2.9092195,1.70564342
103,0.63,1.7491,2.73674417,1.65431082
104,0.64,1.7135,2.63810849,1.6242255
105,0.6,1.8355,2.9244976,1.71011627
106,0.62,1.767,2.60419536,1.61375189
107,0.63,1.7604,2.41908479,1.55534077
108,0.62,1.7005,2.23795795,1.49598062
109,0.63,1.701,2.33960986,1.52957833
110,0.62,1.766,2.66799998,1.63340139
111,0.63,1.7018,2.41052747,1.55258739
112,0.64,1.8013,2.806319,1.67520714
