-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.025,41.271,403.751007,20.0935574
2,0.058,34.639,379.398682,19.478159
3,0.083,28.569,332.717224,18.2405376
4,0.11,23.272,273.16861,16.527813
5,0.11,18.976,209.167419,14.4626217
6,0.12,15.787,149.830734,12.2405367
7,0.14,13.05,109.258507,10.4526796
8,0.19,10.444,81.0352249,9.00195694
9,0.25,8.2286,60.1827049,7.75775146
10,0.29,6.0822,41.6992226,6.45749378
11,0.36,4.9274,28.8816051,5.37416077
12,0.41,4.2013,20.5993137,4.5386467
13,0.41,3.8675,15.4101496,3.92557645
14,0.43,3.4038,10.6069708,3.25683451
15,0.45,3.1764,8.49605751,2.91479969
16,0.45,3.1341,8.08967972,2.84423637
17,0.46,2.8728,7.03432846,2.65223074
18,0.52,2.6026,6.93395329,2.63323998
19,0.57,2.5288,7.81216431,2.79502487
20,0.6,2.3279,6.19141293,2.48825502
21,0.59,2.2281,5.40727997,2.32535577
22,0.61,2.2106,5.49097443,2.34328294
23,0.65,2.0595,4.89870787,2.21330237
24,0.63,2.0701,4.82789993,2.19724822
25,0.63,2.0908,4.84095097,2.20021605
26,0.64,1.8939,3.59344721,1.89563906
27,0.61,2.1058,5.50316954,2.34588361
28,0.63,2.0111,4.79622126,2.19002771
29,0.62,2.0694,5.688941,2.38514996
30,0.63,2.0416,4.98291492,2.23224425
31,0.64,2.0163,4.74210787,2.17763805
32,0.63,1.9965,4.64494324,2.15521312
33,0.64,1.9256,4.5346303,2.12946701
34,0.65,2.0157,4.8564229,2.20372939
35,0.63,2.0238,4.58674383,2.14166856
36,0.62,2.151,5.36223173,2.31564927
37,0.61,2.2435,5.55039358,2.35592723
38,0.59,2.4156,6.69002342,2.58650804
39,0.57,2.4194,6.51906633,2.55324626
40,0.56,2.436,6.25713682,2.50142694
41,0.56,2.4175,6.38643169,2.52713895
42,0.56,2.4632,6.57565498,2.56430411
43,0.56,2.5438,7.24389219,2.69144797
44,0.58,2.4425,7.24596548,2.69183302
45,0.57,2.3817,6.61193943,2.57136917
46,0.59,2.2396,5.5091629,2.34716058
47,0.61,2.163,5.19895029,2.28012061
48,0.62,2.1248,5.3628397,2.31578064
49,0.63,2.0971,4.91877985,2.21783233
50,0.62,2.0977,5.13738394,2.26657987
51,0.62,2.0659,5.14254475,2.26771808
52,0.65,1.9756,4.33336687,2.0816741
53,0.62,2.1023,5.00974655,2.2382462
54,0.6,2.1778,5.4109745,2.32615018
55,0.59,2.1579,5.04506779,2.24612284
56,0.61,2.1376,5.0634799,2.25021768
57,0.61,2.0621,4.48259783,2.11721468
58,0.61,2.0883,4.76532507,2.18296242
59,0.61,2.1449,5.15257597,2.26992869
60,0.61,2.101,4.75180435,2.17986345
61,0.6,2.1759,5.27839041,2.29747486
62,0.61,2.1503,5.27063465,2.29578614
63,0.61,2.1221,5.23212385,2.28738356
64,0.62,2.1355,5.27583361,2.29691815
65,0.62,2.1064,5.11361122,2.26132965
66,0.62,2.0876,5.05820417,2.24904513
67,0.62,2.0869,5.30350733,2.30293441
68,0.62,2.0112,4.51475668,2.12479568
69,0.61,2.1013,5.10818291,2.26012897
70,0.63,2.0442,4.89318848,2.21205521
71,0.63,2.1087,5.12666512,2.26421404
72,0.62,2.1831,5.81112957,2.41062856
73,0.61,2.1222,5.24341393,2.28985023
74,0.61,2.1355,5.13444328,2.26593113
75,0.62,2.0698,4.87908268,2.20886445
76,0.64,2.0275,4.6345768,2.15280676
77,0.62,2.1228,5.24750519,2.29074335
78,0.63,2.0335,4.92443609,2.21910715
79,0.62,2.0674,4.85141516,2.20259285
80,0.63,2.0661,5.28785467,2.29953361
81,0.62,2.0055,4.56970596,2.13768697
82,0.63,2.0547,5.00956821,2.23820662
83,0.63,2.0165,4.77713966,2.1856668
84,0.62,2.0302,4.70574713,2.16927338
85,0.63,2.0151,4.86229038,2.20506024
86,0.62,2.0264,4.80707884,2.19250512
87,0.62,2.0458,4.77034187,2.18411136
88,0.6,2.0683,5.04564524,2.24625134
89,0.61,2.0736,4.87974787,2.20901513
90,0.63,2.0934,5.44918394,2.33434868
91,0.61,2.0615,5.00457144,2.23708987
92,0.62,2.0674,5.34338856,2.31157708
93,0.63,2.0661,5.21001911,2.28254652
94,0.62,2.0256,4.96909761,2.22914743
95,0.63,2.0107,5.00389242,2.23693824
96,0.63,2.0377,5.19874048,2.2800746
97,0.63,1.9954,4.64220762,2.15457845
98,0.63,2.0381,4.96859407,2.22903442
99,0.62,2.0536,5.19693041,2.27967763
100,0.63,2.0746,5.18208504,2.2764194
101,0.64,2.0881,5.47142982,2.33910871
102,0.62,2.03,4.78818512,2.18819237
103,0.63,2.0139,4.66362858,2.15954351
104,0.63,2.0188,4.64767408,2.1558466
105,0.63,1.9643,4.44097185,2.10736132
106,0.64,2.0605,5.12725353,2.26434398
107,0.62,2.0043,4.6122613,2.14761758
108,0.63,2.0089,4.7265048,2.17405272
109,0.64,2.0069,4.90487814,2.21469593
110,0.64,1.9488,4.23915005,2.05891967
111,0.64,2.0312,5.03014135,2.24279761
112,0.64,1.973,4.42142248,2.10271788
113,0.62,1.9654,4.50370932,2.12219453
114,0.64,1.9778,4.50634432,2.12281513
115,0.64,1.9337,4.21740341,2.05363178
116,0.64,2.0568,4.92451382,2.21912456
117,0.65,2.0109,4.73098278,2.17508221
118,0.63,2.0112,4.798594,2.1905694
119,0.64,2.0187,4.84149837,2.20034051
120,0.64,2.015,4.8981638,2.21317959
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.03,41.244,400.963684,20.0240784
2,0.06,34.643,374.452301,19.350769
3,0.085,28.599,326.907104,18.0805721
4,0.11,23.273,266.937836,16.338232
5,0.11,18.824,203.321365,14.2590799
6,0.13,15.462,145.105057,12.0459566
7,0.15,12.625,102.596115,10.128974
8,0.19,10.165,73.2700882,8.55979443
9,0.23,8.0607,50.3350029,7.09471655
10,0.28,6.2255,33.9154854,5.82370043
11,0.35,4.7413,21.868578,4.6763854
12,0.43,4.0576,16.1875477,4.02337503
13,0.39,3.9105,13.6590891,3.69582033
14,0.44,3.5355,12.4801617,3.53272724
