-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.04,39.976,385.559845,19.6356773
2,0.073,32.771,353.027283,18.7890205
3,0.13,25.982,305.577789,17.4807835
4,0.2,19.634,242.728226,15.5797377
5,0.21,14.553,170.152588,13.0442553
6,0.25,10.35,107.531433,10.3697367
7,0.25,7.5673,58.5505486,7.65183306
8,0.29,5.6888,29.0396614,5.38884592
9,0.41,4.269,17.9843864,4.2407999
10,0.57,3.0929,11.400671,3.37648797
11,0.66,2.3772,8.81492615,2.96899414
12,0.67,2.1873,6.31507683,2.51298165
13,0.69,1.7567,3.48359323,1.86643863
14,0.73,1.6471,3.16970396,1.7803663
15,0.73,1.5612,2.44931221,1.56502783
16,0.78,1.3138,1.5852989,1.25908649
17,0.73,1.5811,3.73555064,1.93275726
18,0.73,1.6502,3.96681952,1.99168754
19,0.73,1.6413,3.48358464,1.86643636
20,0.71,1.5006,2.5026865,1.5819881
21,0.73,1.3672,1.32883012,1.15274894
22,0.76,1.3476,1.18524325,1.08868873
23,0.78,1.25,0.936198652,0.967573583
24,0.76,1.3007,1.23220468,1.1100471
25,0.74,1.3479,1.87993801,1.37110829
26,0.78,1.3048,1.2396251,1.11338449
27,0.77,1.2067,1.04333103,1.02143574
28,0.81,1.175,0.998835564,0.999417603
29,0.79,1.1927,0.990447164,0.995212138
30,0.81,1.2057,0.986673415,0.993314385
31,0.75,1.2397,1.16470289,1.07921398
32,0.77,1.264,1.17487538,1.08391666
33,0.79,1.2517,1.18507695,1.08861244
34,0.77,1.2932,1.31260109,1.14568806
35,0.75,1.2726,1.21730208,1.10331416
36,0.77,1.2891,1.25024271,1.11814249
37,0.77,1.2677,1.14697421,1.07096875
38,0.76,1.2613,1.11692047,1.05684459
39,0.77,1.2223,1.11275423,1.05487168
40,0.81,1.1973,1.11092925,1.05400622
41,0.77,1.2053,1.00169492,1.0008471
42,0.79,1.1885,1.09159172,1.04479265
43,0.79,1.1404,0.931785166,0.965290189
44,0.76,1.2416,1.14713788,1.07104516
45,0.79,1.2293,1.07633781,1.037467
